Partlist

Exported from shupito.sch at 19.9.2012 21:25:41

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                      Device              Package                  Library        Sheet

C1       100n                       C-EUC0603K          C0603K                   rcl            1
C2       10n                        C-EUC0603K          C0603K                   rcl            1
C3       2.2u-1759473               C-EUC0603K          C0603K                   rcl            1
C4       10n                        C-EUC0603K          C0603K                   rcl            1
C5       100n                       C-EUC0603K          C0603K                   rcl            1
C6       2.2u                       C-EUC0603K          C0603K                   rcl            1
C7       2.2u                       C-EUC0603K          C0603K                   rcl            1
C8       10n                        C-EUC0603K          C0603K                   rcl            1
C10      100n                       C-EUC0603K          C0603K                   rcl            1
C11      10n                        C-EUC0603K          C0603K                   rcl            1
C13      1u/25V-1759039             C-EUC0603K          C0603K                   rcl            1
C16      100n                       C-EUC0603K          C0603K                   rcl            1
D1       BAT42WS-1621831            DIODE-SOD323        SOD323                   diode          1
D2       BAT42WS-1621831            DIODE-SOD323        SOD323                   diode          1
IC2      74LVC1T45                  74LVC1T45DBV        SOT236                   74lvc1t45      1
IC3      74LVC1T45                  74LVC1T45DBV        SOT236                   74lvc1t45      1
IC4      74LVC1T45                  74LVC1T45DBV        SOT236                   74lvc1t45      1
IC5      74LVC1T45                  74LVC1T45DBV        SOT236                   74lvc1t45      1
IC6      ATXMEGA32A4U-AU            ATXMEGA32A4U-AU     TQFP44                   xmega          1
IC7      TPS73033DBV                TPS73033DBV         SOT23-DBV                tps73033       1
JP1      PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP2      PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP3      PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP4      PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP5      PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP6      PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP7      PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP8      PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP9      PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP10     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP11     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP12     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP13     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP14     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP15     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP16     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP17     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP18     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP19     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP20     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP23     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
JP24     PINH1X01SMD                PINH1X01SMD         PINH1X01SMD              pinhead_smd    1
L1       BEAD-1515707               R-US_R0603          R0603                    rcl            1
L2       10uH-1463501, 22uH-1612131 R-US_R0805          R0805                    rcl            1
